time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-25T06:11:26.270Z,28.1473,84.7079,15,7.8,mww,,35,5.835,1.19,us,us20002926,2015-05-03T10:11:53.562Z,"34km ESE of Lamjung, Nepal",earthquake
2015-04-25T06:37:58.720Z,27.7239,85.8182,9.85,5.1,mb,,76,5.062,0.67,us,us2000292w,2015-04-25T16:37:33.121Z,"28km SSW of Kodari, Nepal",earthquake
2015-04-25T06:45:21.380Z,28.1927,84.8645,14.62,6.6,mb,,16,5.69,1.17,us,us2000292y,2015-05-02T22:28:24.202Z,"49km E of Lamjung, Nepal",earthquake
2015-04-25T06:56:34.450Z,27.91,85.6501,10,5.5,mb,,55,5.127,1.03,us,us20002934,2015-04-26T17:09:07.526Z,"25km NNE of Nagarkot, Nepal",earthquake
2015-04-25T07:07:59.620Z,27.7278,85.9185,10,5,mb,,86,12.38,0.78,us,us20002939,2015-04-25T08:11:43.314Z,"25km S of Kodari, Nepal",earthquake
2015-04-25T07:13:44.320Z,27.5458,85.5502,10,4.8,mb,,105,5.352,0.68,us,us2000293i,2015-04-25T07:55:23.304Z,"5km SE of Panaoti, Nepal",earthquake
2015-04-25T07:16:56.830Z,28.002,85.2694,10,4.8,mb,,127,5.41,0.98,us,us2000293d,2015-04-25T15:20:10.173Z,"33km N of Kathmandu, Nepal",earthquake
2015-04-25T07:39:33.910Z,27.6659,85.7483,10,4.5,mb,,99,5.142,0.68,us,us2000293l,2015-04-25T15:42:21.269Z,"22km E of Banepa, Nepal",earthquake
2015-04-25T07:47:01.690Z,27.8549,85.5572,10,5,mb,,79,6.076,0.81,us,us2000293p,2015-04-25T08:52:38.183Z,"15km NNE of Nagarkot, Nepal",earthquake
2015-04-25T08:05:37.730Z,27.7307,85.7304,10,4.6,mb,,105,5.13,0.61,us,us2000293v,2015-04-25T08:57:17.865Z,"20km E of Nagarkot, Nepal",earthquake
