Index	Date	Location	Deaths	Magnitude
1	27 July 1976.	"""Tangshan, China"""	255000	7.5
2	26 December 2004.	"""Sumatra"""	227898	9.1
3	January 12 2010.	"""Haiti"""	222521	7
4	12 May 2008.	"""Eastern Sichuan, China"""	87587	7.9
5	8 October 2005.	"""Pakistan"""	86000	7.6
6	31 May 1970.	"""Chimbote, Peru"""	70000	7.9
7	20 June 1990.	"""Western Iran"""	40000	7.4
8	26 December 2003.	"""Southeastern Iran"""	31000	6.6
9	7 December 1988.	"""Spitak, Armenia"""	25000	6.8
10	4 February 1976.	"""Guatemala"""	23000	7.5
11	26 January 2001.	"""Gujarat, India"""	20085	7.6
12	10 May 1974.	"""China"""	20000	6.8
13	17 August 1999.	"""Turkey"""	17118	7.6
14	16 September 1978.	"""Iran"""	15000	7.8
15	4 January 1970.	"""Tonghai, Yunnan Province, China"""	10000	7.5
16	29 September 1993.	"""Latur-Killari, India"""	9748	6.2
17	19 September 1985.	"""Mexico, Michoacan"""	9500	8
18	April 25 1015	"""Nepal"""	8019	7.9
